_id,data_di_misurazione,id_station,denominazione,comune,provincia,Longitude,Latitude,tipologia_di_area,tipologia_di_stazione,rete,interesse_rete,inquinante_misurato,valore_inquinante_misurato,limite,unita_misura,superamenti,indice_qualita,classe_qualita
1,2023-10-01T00:00:00,64,Altamura - Via Santeramo,Altamura,Bari,16.561015,40.828848,Suburbana,Fondo,RRQA,PUBBLICO,NO2,28.0,200.0,µg/m³,0,14,ottima
2,2023-10-01T00:00:00,64,Altamura - Via Santeramo,Altamura,Bari,16.561015,40.828848,Suburbana,Fondo,RRQA,PUBBLICO,O3,100.0,180.0,µg/m³,0,56,buona
3,2023-10-01T00:00:00,64,Altamura - Via Santeramo,Altamura,Bari,16.561015,40.828848,Suburbana,Fondo,RRQA,PUBBLICO,PM10,22.0,50.5,µg/m³,6,44,buona
4,2023-10-01T00:00:00,64,Altamura - Via Santeramo,Altamura,Bari,16.561015,40.828848,Suburbana,Fondo,RRQA,PUBBLICO,PM2.5,16.0,25.0,µg/m³,3,64,buona
5,2023-10-01T00:00:00,17,Bari - Caldarola,Bari,Bari,16.888064,41.113542,Urbana,Traffico,RRQA,PUBBLICO,C6H6,0.4,5.0,µg/m³,0,8,ottima
6,2023-10-01T00:00:00,17,Bari - Caldarola,Bari,Bari,16.888064,41.113542,Urbana,Traffico,RRQA,PUBBLICO,CO,0.3,10.0,mg/m³,0,3,ottima
7,2023-10-01T00:00:00,17,Bari - Caldarola,Bari,Bari,16.888064,41.113542,Urbana,Traffico,RRQA,PUBBLICO,NO2,28.0,200.0,µg/m³,0,14,ottima
8,2023-10-01T00:00:00,17,Bari - Caldarola,Bari,Bari,16.888064,41.113542,Urbana,Traffico,RRQA,PUBBLICO,PM10,27.0,50.5,µg/m³,3,53,buona
9,2023-10-01T00:00:00,17,Bari - Caldarola,Bari,Bari,16.888064,41.113542,Urbana,Traffico,RRQA,PUBBLICO,PM2.5,16.0,25.0,µg/m³,11,64,buona
10,2023-10-01T00:00:00,81,Bari - Carbonara,Bari,Bari,16.866944,41.076666,Suburbana,Fondo,RRQA,PUBBLICO,NO2,50.0,200.0,µg/m³,0,25,ottima
11,2023-10-01T00:00:00,81,Bari - Carbonara,Bari,Bari,16.866944,41.076666,Suburbana,Fondo,RRQA,PUBBLICO,PM10,26.0,50.5,µg/m³,5,51,buona
12,2023-10-01T00:00:00,54,Bari - Cavour,Bari,Bari,16.872552,41.122269,Urbana,Traffico,RRQA,PUBBLICO,C6H6,null,5.0,µg/m³,0,null,null
13,2023-10-01T00:00:00,54,Bari - Cavour,Bari,Bari,16.872552,41.122269,Urbana,Traffico,RRQA,PUBBLICO,CO,0.4,10.0,mg/m³,0,4,ottima
14,2023-10-01T00:00:00,54,Bari - Cavour,Bari,Bari,16.872552,41.122269,Urbana,Traffico,RRQA,PUBBLICO,NO2,66.0,200.0,µg/m³,0,33,buona
15,2023-10-01T00:00:00,54,Bari - Cavour,Bari,Bari,16.872552,41.122269,Urbana,Traffico,RRQA,PUBBLICO,PM10,25.0,50.5,µg/m³,2,50,buona
16,2023-10-01T00:00:00,54,Bari - Cavour,Bari,Bari,16.872552,41.122269,Urbana,Traffico,RRQA,PUBBLICO,PM2.5,17.0,25.0,µg/m³,11,68,discreta
17,2023-10-01T00:00:00,90,Bari - CUS,Bari,Bari,16.845277,41.134722,Suburbana,Traffico,RRQA,PUBBLICO,NO2,13.0,200.0,µg/m³,0,7,ottima
18,2023-10-01T00:00:00,90,Bari - CUS,Bari,Bari,16.845277,41.134722,Suburbana,Traffico,RRQA,PUBBLICO,O3,107.0,180.0,µg/m³,0,59,buona
19,2023-10-01T00:00:00,90,Bari - CUS,Bari,Bari,16.845277,41.134722,Suburbana,Traffico,RRQA,PUBBLICO,PM10,26.0,50.5,µg/m³,5,51,buona
20,2023-10-01T00:00:00,55,Bari - Kennedy,Bari,Bari,16.858905,41.099593,Urbana,Fondo,RRQA,PUBBLICO,NO2,40.0,200.0,µg/m³,0,20,ottima
21,2023-10-01T00:00:00,55,Bari - Kennedy,Bari,Bari,16.858905,41.099593,Urbana,Fondo,RRQA,PUBBLICO,O3,92.0,180.0,µg/m³,0,51,buona
22,2023-10-01T00:00:00,55,Bari - Kennedy,Bari,Bari,16.858905,41.099593,Urbana,Fondo,RRQA,PUBBLICO,PM10,27.0,50.5,µg/m³,5,53,buona
23,2023-10-01T00:00:00,106,Bitonto - EN01,Bitonto,Bari,16.745277,41.079166,Suburbana,Industriale,RRQA,PRIVATO,CO,0.2,10.0,mg/m³,0,2,ottima
24,2023-10-01T00:00:00,106,Bitonto - EN01,Bitonto,Bari,16.745277,41.079166,Suburbana,Industriale,RRQA,PRIVATO,NO2,11.0,200.0,µg/m³,0,6,ottima
25,2023-10-01T00:00:00,106,Bitonto - EN01,Bitonto,Bari,16.745277,41.079166,Suburbana,Industriale,RRQA,PRIVATO,O3,98.0,180.0,µg/m³,0,54,buona
26,2023-10-01T00:00:00,106,Bitonto - EN01,Bitonto,Bari,16.745277,41.079166,Suburbana,Industriale,RRQA,PRIVATO,PM10,25.0,50.5,µg/m³,13,50,buona
